                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.0084,                0.87294,                 1.2506,                 0.8543,                0.79757,                0.85682,                0.57542,                0.90976,                0.70298,                 1.1686,              0.0077023,              0.0077023,              0.0077023
                     66,                 1.0069,                0.86334,                 1.2536,                0.87249,                0.80502,                0.86391,                0.58081,                0.89503,                0.69985,                 1.1611,              0.0076364,              0.0076364,              0.0076364
                     67,                 1.0101,                0.85678,                 1.2543,                0.86559,                0.80169,                0.86064,                0.57834,                0.91026,                0.69687,                 1.1719,              0.0075698,              0.0075698,              0.0075698
                     68,                 1.0102,                0.85527,                 1.2555,                0.86411,                0.81721,                0.86817,                0.59584,                0.88622,                0.67772,                 1.1594,              0.0075025,              0.0075025,              0.0075025
                     69,                 1.0003,                0.85028,                 1.2454,                0.88234,                0.80206,                 0.8757,                0.59499,                0.89917,                0.68454,                 1.1628,              0.0074347,              0.0074347,              0.0074347
                     70,                0.98976,                0.83988,                 1.2383,                0.87269,                 0.8226,                0.86924,                0.59018,                0.89159,                0.67121,                 1.1539,              0.0073663,              0.0073663,              0.0073663
                     71,                0.97681,                0.83749,                 1.2279,                0.87925,                0.81328,                0.87936,                0.59919,                0.90196,                0.67296,                 1.1676,              0.0072973,              0.0072973,              0.0072973
                     72,                0.98511,                0.83053,                 1.2427,                0.86782,                0.81254,                0.86762,                0.58666,                0.89776,                0.67191,                  1.163,              0.0072277,              0.0072277,              0.0072277
                     73,                0.97838,                0.82736,                 1.2344,                0.89045,                 0.8083,                0.88425,                0.60469,                0.87989,                0.65305,                 1.1457,              0.0071576,              0.0071576,              0.0071576
                     74,                0.98346,                0.83065,                 1.2378,                0.89445,                 0.8195,                0.87691,                0.59984,                0.89026,                0.65757,                 1.1544,               0.007087,               0.007087,               0.007087
                     75,                0.96058,                0.80488,                 1.2238,                0.87767,                0.82829,                0.88235,                0.60756,                0.87518,                0.65495,                 1.1476,              0.0070159,              0.0070159,              0.0070159
                     76,                0.97694,                0.82471,                 1.2264,                0.87695,                0.82476,                0.87513,                0.60649,                 0.8639,                0.64932,                  1.137,              0.0069443,              0.0069443,              0.0069443
                     77,                0.96423,                0.80781,                 1.2178,                0.89293,                0.83942,                0.89597,                0.61398,                0.87575,                0.63624,                  1.141,              0.0068722,              0.0068722,              0.0068722
                     78,                0.96004,                0.80077,                 1.2173,                0.87813,                0.82123,                 0.8833,                0.61011,                0.85713,                0.63043,                 1.1342,              0.0067997,              0.0067997,              0.0067997
                     79,                0.95976,                0.80158,                 1.2212,                0.88708,                0.83927,                0.88797,                0.61607,                0.85242,                0.62591,                 1.1263,              0.0067268,              0.0067268,              0.0067268
                     80,                0.96265,                0.81703,                 1.2252,                0.90161,                0.83001,                0.89671,                0.62031,                  0.854,                0.63143,                 1.1341,              0.0066534,              0.0066534,              0.0066534
                     81,                0.94638,                0.78976,                 1.2106,                0.89147,                0.83239,                0.89528,                0.62195,                0.84881,                0.61866,                 1.1218,              0.0065796,              0.0065796,              0.0065796
                     82,                0.94495,                0.79039,                 1.2088,                0.87396,                0.83542,                0.89453,                0.62455,                0.84548,                0.62638,                 1.1229,              0.0065055,              0.0065055,              0.0065055
                     83,                0.94044,                0.78634,                 1.2101,                0.90219,                0.83583,                0.89921,                0.63103,                0.83695,                0.61449,                 1.1158,               0.006431,               0.006431,               0.006431
                     84,                0.93932,                 0.7799,                 1.2057,                0.89562,                0.83892,                0.89865,                 0.6299,                0.82917,                 0.6164,                 1.1133,              0.0063562,              0.0063562,              0.0063562
                     85,                0.94162,                0.77501,                 1.2057,                0.90206,                0.84692,                 0.9044,                0.63251,                0.82697,                0.60816,                 1.1077,               0.006281,               0.006281,               0.006281
                     86,                0.94156,                0.77573,                 1.2107,                0.91319,                0.85411,                0.90712,                0.63427,                0.82275,                0.60405,                 1.1149,              0.0062056,              0.0062056,              0.0062056
                     87,                0.91968,                0.76854,                 1.1962,                0.90539,                0.85005,                0.91134,                0.63788,                0.82112,                0.59368,                 1.1066,              0.0061298,              0.0061298,              0.0061298
                     88,                0.92046,                0.76326,                 1.1908,                0.90955,                0.84968,                0.91435,                0.64299,                0.82312,                0.58931,                  1.109,              0.0060538,              0.0060538,              0.0060538
                     89,                0.92064,                0.75625,                 1.1866,                 0.9147,                0.85179,                0.91306,                0.63941,                0.82472,                0.58947,                 1.1093,              0.0059775,              0.0059775,              0.0059775
                     90,                0.92115,                0.75369,                 1.1932,                0.91957,                0.85514,                0.91343,                0.64262,                0.81617,                0.58446,                 1.1002,               0.005901,               0.005901,               0.005901
                     91,                 0.9141,                0.75613,                  1.184,                0.90658,                 0.8553,                0.90386,                0.63255,                 0.8232,                0.59719,                 1.1083,              0.0058244,              0.0058244,              0.0058244
                     92,                0.90699,                0.74956,                 1.1789,                0.90912,                 0.8626,                0.91487,                  0.646,                0.80825,                0.57647,                 1.0944,              0.0057475,              0.0057475,              0.0057475
                     93,                0.91611,                0.75721,                 1.1938,                0.90788,                 0.8619,                0.91363,                0.64754,                0.80164,                0.57541,                 1.0896,              0.0056704,              0.0056704,              0.0056704
                     94,                0.90335,                0.73467,                 1.1758,                0.91198,                0.85911,                0.91566,                0.64354,                0.81007,                0.58143,                 1.0936,              0.0055932,              0.0055932,              0.0055932
                     95,                0.89475,                0.73567,                 1.1765,                0.91625,                0.86833,                0.92677,                0.65568,                0.80177,                0.56808,                 1.0918,              0.0055158,              0.0055158,              0.0055158
                     96,                0.89108,                0.73422,                 1.1754,                0.91161,                0.86707,                0.92315,                0.65677,                0.79132,                0.56416,                 1.0854,              0.0054384,              0.0054384,              0.0054384
                     97,                0.89465,                 0.7263,                 1.1683,                0.90769,                 0.8709,                 0.9269,                0.66034,                0.79088,                 0.5642,                 1.0854,              0.0053608,              0.0053608,              0.0053608
                     98,                0.88964,                0.72584,                  1.178,                 0.9209,                0.86776,                 0.9263,                0.65952,                0.80114,                0.56483,                 1.0968,              0.0052832,              0.0052832,              0.0052832
                     99,                0.89397,                0.73029,                 1.1716,                0.91178,                0.86782,                0.91715,                 0.6549,                0.79429,                0.56183,                 1.0885,              0.0052055,              0.0052055,              0.0052055
                    100,                0.88367,                0.71838,                 1.1655,                0.91822,                0.85419,                0.91335,                 0.6541,                0.80129,                0.56147,                 1.0964,              0.0051278,              0.0051278,              0.0051278
                    101,                0.88383,                0.71589,                 1.1626,                0.91489,                0.86697,                0.92296,                0.65762,                0.80029,                0.56374,                 1.0954,                0.00505,                0.00505,                0.00505
                    102,                0.87237,                0.70929,                 1.1594,                0.91896,                0.86483,                0.92258,                0.65811,                0.79145,                 0.5533,                 1.0884,              0.0049722,              0.0049722,              0.0049722
                    103,                0.88694,                0.71665,                 1.1734,                0.92726,                 0.8677,                0.92882,                0.66279,                0.78296,                0.54502,                 1.0838,              0.0048945,              0.0048945,              0.0048945
                    104,                0.86811,                0.69487,                 1.1595,                0.91862,                0.86737,                 0.9259,                0.66355,                0.77906,                0.54223,                 1.0771,              0.0048168,              0.0048168,              0.0048168
                    105,                0.87258,                0.71094,                 1.1676,                0.90839,                0.88118,                0.92739,                0.66444,                0.77846,                0.54575,                 1.0722,              0.0047392,              0.0047392,              0.0047392
                    106,                0.87041,                0.70288,                 1.1616,                0.91212,                0.88062,                0.93053,                0.67201,                0.77172,                 0.5412,                 1.0715,              0.0046616,              0.0046616,              0.0046616
                    107,                0.85934,                0.68227,                 1.1487,                0.91757,                 0.8726,                0.92953,                0.66963,                0.76559,                0.53844,                 1.0688,              0.0045842,              0.0045842,              0.0045842
                    108,                0.86281,                0.67935,                 1.1533,                0.92743,                0.87347,                0.93034,                 0.6713,                0.76752,                0.53747,                 1.0699,              0.0045068,              0.0045068,              0.0045068
                    109,                0.85855,                0.69688,                   1.15,                0.92202,                0.88034,                 0.9313,                 0.6712,                0.77146,                0.53724,                 1.0704,              0.0044296,              0.0044296,              0.0044296
                    110,                0.86713,                0.69455,                 1.1596,                0.91691,                0.88516,                0.92914,                 0.6705,                0.76089,                0.53474,                 1.0661,              0.0043525,              0.0043525,              0.0043525
                    111,                0.85144,                0.68057,                 1.1433,                0.91821,                0.87945,                0.92885,                0.67263,                0.76347,                0.53479,                 1.0665,              0.0042756,              0.0042756,              0.0042756
                    112,                0.84604,                0.67938,                  1.142,                0.92356,                0.88148,                0.93219,                0.67581,                 0.7598,                0.53013,                  1.063,               0.004199,               0.004199,               0.004199
                    113,                0.84725,                0.68573,                 1.1428,                 0.9345,                0.87348,                0.93333,                 0.6775,                0.75726,                0.53167,                 1.0606,              0.0041225,              0.0041225,              0.0041225
